Date	Goods ID	Goods Name	Product impressions	Number of visitor impressions of the product	Product clicks	Number of visitor clicks on the product	CTR
2026-07-27	602875421949566	5 Core Microphone Stand Adjustable Heavy Duty Mic Stand for Studio Stage Recording and Live Performance Pack of 4	3265	2328	105	84	3.22%
2026-07-27	602600544010022	5 Core Microphone Stand Adjustable Heavy Duty Mic Stand for Studio Stage Recording and Live Performance Pack of 2	8767	6498	166	138	1.89%
2026-07-27	602360394940394	5 Core 6.5" Mid-Range Replacement Pro Audio Car Speaker Aluminum Super Tweeters	3763	2717	115	105	3.06%
2026-07-27	602871496055333	5 Core Guitar Stand A Frame w Soft Foam Arm Non Slip Rubber for Acoustic Electric Bass Ukulele	16796	11568	193	165	1.15%
2026-07-27	602360394948576	5 Core Speaker Stand Adjustable 61" Heavy Duty PA DJ Tripod Studio Monitor Stands	209	110	12	10	5.74%
2026-07-27	602223660623512	5 Core Music Stand Adjustable 57" Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand w Carrying Bag & Clip Black	5299	3769	117	78	2.21%
2026-07-27	603047589706024	5 Core Mic Stand Floor Height Adjustable Universal Heavy Weight Microphone Stands Round Base	3007	2102	110	85	3.66%
2026-07-27	602305265028758	5 Core DJ Light Stand & T-Bar Mount Height Adjustable Heavy Duty Tripod Stage Lighting Support System	188	151	9	9	4.79%
2026-07-27	603193249514220	5 Core Speaker Stand Pair Tripod Heavy Duty Adjustable PA DJ Speaker Stands Telescoping Height up to 54 Inch Universal 35mm Mount for Stage Studio Events	4208	3259	159	125	3.78%
2026-07-27	602291675474088	5 Core Guitar Stand Adjustable Double Guitars Stands Floor w Neck Holder for Acoustic Electric Bass	5449	4052	47	38	0.86%
2026-07-27	602347510048862	5 Core Speaker Stand Tripod Heavy Duty Adjustable 72" Universal Mount for PA DJ Studio w Bag	5967	4486	154	118	2.58%
2026-07-27	602875421909482	5 Core Keyboard Stand 2 Tier Column for 61/76/88 Key Board DJ Controller Stands for Electric Digital Midi Pianos	1398	983	60	50	4.29%
2026-07-27	603206503509266	5Core Capo 4Pcs Acoustic Electric Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele	15020	12167	212	194	1.41%
2026-07-27	610148068206027	5 Core 4 Inch Subwoofer Pair 200W Car Audio Sub Woofer 4 Ohm Deep Bass Replacement Loud Speaker	9713	6859	319	282	3.28%
2026-07-27	602982359923480	5 Core Projector Stand Floor Adjustable Universal Projectors Support for Home Office & Studio	2545	1977	81	66	3.18%
2026-07-27	602266610334363	5 Core 2-Way Coaxial Car Door Speakers with Tweeter, Stereo Audio Component Driver (Multiple Sizes Available)	4528	3420	106	97	2.34%
2026-07-27	610154510690714	5Core Guitar Wall Mount Hanger Adjustable Display Wall Hook Holder Hard Wood Base	5150	3986	80	73	1.55%
2026-07-27	602653157334729	5 Core Double Guitar Stand A-Frame Design with Soft Foam Arms and Non-Slip Rubber Supports for Acoustic, Electric, Bass, Ukulele & Banjo	1388	1027	26	20	1.87%
2026-07-27	602875421884798	5 Core Speaker Stand Tripod Heavy Duty Adjustable Pair for PA DJ Stage & Event Telescoping Height up to 72″ Universal 35 mm Mount Pack of 2	3937	2910	144	106	3.66%
2026-07-27	602643493656383	5 Core Speaker Wall Mount Pair Adjustable Dual Side Clamping Bracket for Bookshelf and Surround Speakers	1291	986	34	32	2.63%
2026-07-27	603249453150093	5 Core 8 Inch Subwoofer Car Audio Woofer Replacement Deep Bass Component Loud Speaker	558	394	38	31	6.81%
2026-07-27	602360394917802	5 Core Speaker Stand Adjustable 59.5" Heavy Duty PA DJ Studio Monitor Stands	132	99	6	3	4.55%
2026-07-27	602307781586066	5 Core Guitar Amp Stand Heavy Duty Foam Cover Arm Adjustable Low Profile Collapsible	156	127	9	6	5.77%
2026-07-27	602669263499311	5 Core Speaker Stand Tripod Heavy Duty Adjustable PA DJ Speaker Stand Telescoping Height up to 54 Inch Universal 35mm Mount for Stage Studio Events Single Stand	378	270	25	21	6.61%
